City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,13.9,83,92,9.83,NZ,1708296496
1,yellowknife,62.456,-114.3525,-15.33,77,75,2.57,CA,1708296498
2,floresville,29.1336,-98.1561,14.42,35,7,0.44,US,1708296500
3,gadzhiyevo,69.2551,33.3362,-7.1,89,73,9.62,RU,1708296501
4,adamstown,-25.066,-130.1015,24.56,75,91,4.14,PN,1708296502
5,carnarvon,-24.8667,113.6333,28.36,57,35,1.27,AU,1708296503
6,hasaki,35.7333,140.8333,15.16,68,36,9.19,JP,1708296504
7,jamestown,42.097,-79.2353,-1.23,70,100,4.92,US,1708296506
8,reedley,36.5963,-119.4504,22.27,49,0,3.13,US,1708296507
9,oromocto,45.8351,-66.4792,-4.05,48,89,5.81,CA,1708296508
10,papatowai,-46.5619,169.4708,11.41,89,100,9.15,NZ,1708296509
11,eden isle,30.2285,-89.7987,14.44,24,0,4.63,US,1708296510
12,nar'yan-mar,67.6713,53.087,-12.16,94,99,5.81,RU,1708296511
13,port-aux-francais,-49.35,70.2167,4.79,75,92,11.06,TF,1708296513
14,qaqortoq,60.7167,-46.0333,-3.01,79,100,3.4,GL,1708296514
15,holualoa,19.6228,-155.9522,26.91,73,40,5.66,US,1708296516
16,stanley,54.868,-1.6985,9.04,91,20,4.63,GB,1708296517
17,ebebiyin,2.1511,11.3353,21.94,91,73,0.91,GQ,1708296518
18,blackmans bay,-43.0167,147.3167,16.07,83,100,0.89,AU,1708296519
19,natal,-5.795,-35.2094,29.36,84,75,3.6,BR,1708296520
20,waitangi,-43.9535,-176.5597,19.9,91,5,4.47,NZ,1708296522
21,ituango,7.1712,-75.764,21.16,95,73,1.01,CO,1708296523
22,bac lieu,9.285,105.7244,24.76,88,13,4.3,VN,1708296524
23,tandalti,13.0167,31.8667,22.14,12,90,6.91,SD,1708296525
24,bethel,41.3712,-73.414,2.64,51,0,6.17,US,1708296526
25,bouca,6.5105,18.2733,27.65,33,100,1.15,CF,1708296527
26,mawu,29.5923,107.3139,13.91,87,7,1.57,CN,1708296528
27,sandnessjoen,66.0217,12.6316,-3.94,86,0,2.06,NO,1708296530
28,ilulissat,69.2167,-51.1,-11.99,92,20,1.54,GL,1708296531
29,port alfred,-33.5906,26.891,20.1,93,99,0.89,ZA,1708296532
30,lihue,21.9789,-159.3672,24.58,48,0,9.77,US,1708296533
31,qamdo,31.1667,97.2333,-8.12,61,74,2.8,CN,1708296534
32,petrolina,-9.3986,-40.5008,29.03,74,40,1.54,BR,1708296324
33,saynshand,44.8824,110.1163,-29.9,82,2,2.44,MN,1708296537
34,klyuchi,52.2667,79.1667,-27.01,98,11,2.54,RU,1708296538
35,georgetown,5.4112,100.3354,27.96,87,20,2.06,MY,1708296462
36,praia da vitoria,38.7333,-27.0667,17.09,94,40,4.2,PT,1708296540
37,sinabang,2.4803,96.3801,26.88,81,99,0.55,ID,1708296541
38,keflavik,64.0049,-22.5624,6.24,87,100,6.69,IS,1708296542
39,longyearbyen,78.2186,15.6401,-12.09,61,75,8.23,SJ,1708296543
40,grytviken,-54.2811,-36.5092,4.21,90,73,6.21,GS,1708296544
41,fauske,67.2588,15.3918,-2.98,91,92,3.1,NO,1708296545
42,nemuro,43.3236,145.575,2.2,83,38,8.01,JP,1708296546
43,piti village,13.4626,144.6933,28.17,80,75,3.09,GU,1708296547
44,edinburgh of the seven seas,-37.0676,-12.3116,14.87,65,19,9.01,SH,1708296548
45,xining,36.6167,101.7667,-8.87,58,90,0.14,CN,1708296549
46,thompson,55.7435,-97.8558,-18.91,60,75,2.06,CA,1708296550
47,katsuren-haebaru,26.3369,127.8719,22.27,88,40,4.12,JP,1708296551
48,pisco,-13.7,-76.2167,28.03,65,0,8.23,PE,1708296552
